movie_id,title,tags
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career. Music Drama Jaafar Jackson Colman Domingo Nia Long Antoine Fuqua child abuse sibling relationship 1970s abusive father ambition biography singer period drama music history price of fame singer-songwriter rise to fame 1980s 1960s wonder music joyous cheerful biographical drama music drama biopic"
1330021,Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again. Drama Mystery Sally Field Lewis Pullman Colm Meaney Olivia Newman aquarium octopus british columbia washington loss of child based on young adult novel fictional town"
1198994,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive. Horror Thriller Comedy Rachel McAdams Dylan O'Brien Edyll Ismail Sam Raimi bullying role reversal survival struggle for survival survival horror deserted island power struggle colleagues bullying in the workplace plane crash gender inequality comedy thriller comedy horror"
1426822,Mortal Game,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one. Horror Action Deniella Alexis Kevin Lloyd Reid Mark Ettlinger John Lechago "
1241752,Rita,"Rita, who finds herself alone when husband Ariel works abroad. They both find solace and sexual satisfaction in other people. When Ariel comes back, they both act like nothing happened. But will this keep their marriage from falling apart? Drama Christine Bermas Gold Aceron VR Relosa Jerry Lopez Sineneng threesome lgbt gay theme sexy"
1297842,GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world. Animation Comedy Family Caleb McLaughlin Gabrielle Union Stephen Curry Tyree Dillihay underdog friendship sports allies ambition bullying challenge basketball rivalry coming of age anthropomorphism animals intimidation stereotype basketball team basketball player big dreams imaginary world sneakers vulture playful talking animal anthropomorphic animal athlete inspirational enemy courage feel good heartwarming exciting fantasy sports admiring amused joyful sports comedy"
1613798,Vengeance,"The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible. Action Thriller Omar Chaparro Alejandro Speitzer Paola Nuñez Rodrigo Valdes revenge betrayal manhunt vengeance action thriller revenge mission relentless pursuit corrupt officials deadly confrontation dark secrets redemption quest ruthless enemies personal justice violent retaliation innocent victim"
1301421,The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers. Comedy Family Mystery Hugh Jackman Julia Louis-Dreyfus Emma Thompson Kyle Balda shepherd based on novel or book investigation murder aftercreditsstinger murder mystery investigate talking animal"
980431,Avatar Aang: The Last Airbender,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve. Animation Action Adventure Fantasy Eric Nam Dave Bautista Jessica Matten Lauren Montgomery martial arts extinction cultural identity based on tv series"
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins. Animation Action Fantasy Natsuki Hanae Takahiro Sakurai Akira Ishida Haruo Sotozaki supernatural sequel based on manga demon shounen anime brother sister relationship taisho period"
